Rank,Marks
1,323
101,213
201,190
301,176
401,167
501,159
601,152
701,148
801,143
901,139
1001,136
1101,133
1201,130
1301,127
1401,124
1501,1222
1601,119
1701,117
1801,116
1901,114
2001,112
2101,110
2201,108
2301,107
2401,106
2501,104
2601,103
2701,101
2801,100
2901,99
3001,98
3101,97
3201,95
3301,94
3401,93
3501,92
3601,91
3701,90
3801,89
3901,88
4001,87
4101,87
4201,86
4301,85
4401,84
4501,83
4601,82
4701,82
4801,81
4901,80
5001,79
5101,79
5201,78
5301,77
5371,77
